,Account Status,Months,Credit History,Purpose,Credit Amount,Savings,Employment,Installment Rate,Personal Status,Guarantors,Residence,Property,Age,Other Installments,Housing,Credit Cards,Job,Dependents,Phone,Foreign Worker,Credit Rating
0,0,6,4,2,1169,4,4,4,2,0,4,0,67,2,1,2,2,1,91,0,0
1,1,48,2,2,5951,0,2,2,1,0,2,0,22,2,1,1,2,1,90,0,1
2,3,12,4,5,2096,0,3,2,2,0,3,0,49,2,1,1,1,2,90,0,0
3,0,42,2,1,7882,0,3,2,2,2,4,1,45,2,2,1,2,2,90,0,0
4,0,24,3,-1,4870,0,2,3,2,0,4,3,53,2,2,2,2,2,90,0,1
5,3,36,2,5,9055,4,2,2,2,0,4,3,35,2,2,1,1,2,91,0,0
6,3,24,2,1,2835,2,4,3,2,0,4,1,53,2,1,1,2,1,90,0,0
7,1,36,2,0,6948,0,2,2,2,0,2,2,35,2,0,1,3,1,91,0,0
8,3,12,2,2,3059,3,3,2,0,0,4,0,61,2,1,1,1,1,90,0,0
9,1,30,4,-1,5234,0,0,4,3,0,2,2,28,2,1,2,3,1,90,0,1
10,1,12,2,-1,1295,0,1,3,1,0,1,2,25,2,0,1,2,1,90,0,1
11,0,48,2,8,4308,0,1,3,1,0,4,1,24,2,0,1,2,1,90,0,1
12,1,12,2,2,1567,0,2,1,1,0,1,2,22,2,1,1,2,1,91,0,0
13,0,24,4,-1,1199,0,4,4,2,0,4,2,60,2,1,2,1,1,90,0,1
14,0,15,2,-1,1403,0,2,2,1,0,4,2,28,2,0,1,2,1,90,0,0
15,0,24,2,2,1282,1,2,4,1,0,2,2,32,2,1,1,1,1,90,0,1
16,3,24,4,2,2424,4,4,4,2,0,4,1,53,2,1,2,2,1,90,0,0
17,0,30,0,8,8072,4,1,2,2,0,3,2,25,0,1,3,2,1,90,0,0
18,1,24,2,0,12579,0,4,4,1,0,2,3,44,2,2,1,3,1,91,0,1
19,3,24,2,2,3430,2,4,3,2,0,2,2,31,2,1,1,2,2,91,0,0
20,3,9,4,-1,2134,0,2,4,2,0,4,2,48,2,1,3,2,1,91,0,0
21,0,6,2,2,2647,2,2,2,2,0,3,0,44,2,0,1,2,2,90,0,0
22,0,10,4,-1,2241,0,1,1,2,0,3,0,48,2,0,2,1,2,90,1,0
23,1,12,4,0,1804,1,1,3,2,0,4,1,44,2,1,1,2,1,90,0,0
24,3,10,4,1,2069,4,2,2,3,0,1,2,26,2,1,2,2,1,90,1,0
25,0,6,2,1,1374,0,2,1,2,0,2,0,36,0,1,1,1,1,91,0,0
26,3,6,0,2,426,0,4,4,3,0,4,2,39,2,1,1,1,1,90,0,0
27,2,12,1,2,409,3,2,3,1,0,3,0,42,2,0,2,2,1,90,0,0
28,1,7,2,2,2415,0,2,3,2,2,2,0,34,2,1,1,2,1,90,0,0
29,0,60,3,8,6836,0,4,3,2,0,4,3,63,2,1,2,2,1,91,0,1
30,1,18,2,8,1913,3,1,3,3,0,3,0,36,0,1,1,2,1,91,0,0
31,0,24,2,1,4020,0,2,2,2,0,2,2,27,1,1,1,2,1,90,0,0
32,1,18,2,-1,5866,1,2,2,2,0,2,2,30,2,1,2,2,1,91,0,0
33,3,12,4,8,1264,4,4,4,2,0,4,3,57,2,0,1,1,1,90,0,0
34,2,12,2,1,1474,0,1,4,1,0,1,1,33,0,1,1,3,1,91,0,0
35,1,45,4,2,4746,0,1,4,2,0,2,1,25,2,1,2,1,1,90,0,1
