,Survived,Pclass,Sex,Age,Parch,Fare,Embarked,Ticket_type,Words_Count,Has_Cabin,FamilySize,IsAlone,Title
0,0,3,1,1,0,0,0,124,4,0,2,0,1
1,1,1,0,2,0,3,1,137,7,1,2,0,3
2,1,3,0,1,0,1,0,148,3,0,1,1,2
3,1,1,0,2,0,3,0,3,7,1,2,0,3
4,0,3,1,2,0,1,0,97,4,0,1,1,1
5,0,3,1,1,0,1,2,72,3,0,1,1,1
6,0,1,1,3,0,3,0,18,4,1,1,1,1
7,0,3,1,0,1,2,0,83,4,0,5,0,4
8,1,3,0,1,2,1,0,81,7,0,3,0,3
9,1,2,0,0,0,2,1,38,5,0,2,0,3
10,1,3,0,0,1,2,0,138,4,1,3,0,2
11,1,1,0,3,0,2,0,3,3,1,1,1,2
12,0,3,1,1,0,1,0,124,4,0,1,1,1
13,0,3,1,2,5,3,0,81,4,0,7,0,1
14,0,3,0,0,0,0,0,84,5,0,1,1,2
15,1,2,0,3,0,2,0,44,5,0,1,1,3
16,0,3,1,0,1,2,2,100,3,0,6,0,4
17,1,2,1,1,0,1,0,43,4,0,1,1,1
18,0,3,0,1,0,2,0,79,7,0,2,0,3
19,1,3,0,1,0,0,1,48,3,0,1,1,3
20,0,2,1,2,0,2,0,39,4,0,1,1,1
21,1,2,1,2,0,1,0,44,3,1,1,1,1
22,1,3,0,0,0,1,2,72,4,0,1,1,2
23,1,1,1,1,0,3,0,3,4,1,1,1,1
24,0,3,0,0,1,2,0,83,4,0,5,0,2
25,1,3,0,2,5,3,0,81,8,0,7,0,3
26,0,3,1,2,0,0,1,47,4,0,1,1,1
27,0,1,1,1,2,3,0,21,4,1,6,0,1
28,1,3,0,1,0,0,2,72,4,0,1,1,2
29,0,3,1,1,0,0,0,83,3,0,1,1,1
30,0,1,1,2,0,2,1,137,4,0,1,1,5
31,1,1,0,1,0,3,1,137,6,1,2,0,3
32,1,3,0,1,0,0,2,74,4,0,1,1,2
33,0,2,1,4,0,1,0,130,4,0,1,1,1
34,0,1,1,1,0,3,1,137,4,0,2,0,1
35,0,1,1,2,0,3,0,3,4,0,2,0,1
36,1,3,1,1,0,0,1,51,3,0,1,1,1
37,0,3,1,1,0,1,0,121,4,0,1,1,1
38,0,3,0,1,0,2,0,79,5,0,3,0,2
39,1,3,0,0,0,1,1,49,3,0,2,0,2
40,0,3,0,2,0,1,0,116,6,0,2,0,3
41,0,2,0,1,0,2,0,4,8,0,2,0,3
42,0,3,1,1,0,0,1,83,3,0,1,1,1
43,1,2,0,0,2,3,1,144,6,0,4,0,2
44,1,3,0,1,0,0,2,72,4,0,1,1,2
45,0,3,1,2,0,1,0,139,4,0,1,1,1
46,0,3,1,2,0,2,2,94,3,0,2,0,1
47,1,3,0,1,0,0,2,14,3,0,1,1,2
48,0,3,1,2,0,2,1,50,3,0,3,0,1
49,0,3,0,1,0,2,0,83,5,0,2,0,3
50,0,3,1,0,1,3,0,66,4,0,6,0,4
51,0,3,1,1,0,0,0,123,4,0,1,1,1
52,1,1,0,3,0,3,1,137,6,1,2,0,3
53,1,2,0,1,0,2,0,64,6,0,2,0,3
54,0,1,1,4,1,3,1,3,4,1,2,0,1
55,1,1,1,2,0,3,0,21,3,1,1,1,1
56,1,2,0,1,0,1,0,130,3,0,1,1,2
57,0,3,1,1,0,0,1,53,3,0,1,1,1
58,1,2,0,0,2,2,0,130,4,0,4,0,2
59,0,3,1,0,2,3,0,131,4,0,8,0,4
60,0,3,1,1,0,0,1,50,3,0,1,1,1
61,1,1,0,2,0,3,0,3,3,1,1,1,2
62,0,1,1,2,0,3,0,93,4,1,2,0,1
63,0,3,1,0,2,2,0,81,3,0,6,0,4
64,0,1,1,1,0,2,1,137,4,0,1,1,1
65,1,3,1,1,1,2,1,50,3,0,3,0,4
66,1,2,0,1,0,1,0,130,4,1,1,1,3
67,0,3,1,1,0,1,0,141,4,0,1,1,1
68,1,3,0,1,2,1,0,66,4,0,7,0,2
69,0,3,1,1,0,1,0,69,3,0,3,0,1
70,0,2,1,1,0,1,0,130,4,0,1,1,1
71,0,3,0,0,2,3,0,131,4,0,8,0,2
72,0,2,1,1,0,3,0,140,4,0,1,1,1
73,0,3,1,1,0,2,1,52,3,0,2,0,1
74,1,3,1,1,0,3,0,16,3,0,1,1,1
75,0,3,1,1,0,0,0,82,4,1,1,1,1
76,0,3,1,2,0,0,0,83,3,0,1,1,1
77,0,3,1,2,0,1,0,98,4,0,1,1,1
78,1,2,1,0,2,2,0,44,4,0,3,0,4
79,1,3,0,1,0,1,0,89,3,0,1,1,2
80,0,3,1,1,0,1,0,79,3,0,1,1,1
81,1,3,1,1,0,1,0,79,4,0,1,1,1
82,1,3,0,1,0,0,2,72,4,0,1,1,2
83,0,1,1,1,0,3,0,3,4,0,1,1,1
84,1,2,0,1,0,1,0,146,3,0,1,1,2
85,1,3,0,2,0,2,0,66,7,0,4,0,3
86,0,3,1,0,3,3,0,150,4,0,5,0,1
87,0,3,1,1,0,1,0,147,4,0,1,1,1
88,1,1,0,1,2,3,0,21,4,1,6,0,2
89,0,3,1,1,0,1,0,78,3,0,1,1,1
90,0,3,1,1,0,1,0,78,3,0,1,1,1
91,0,3,1,1,0,0,0,81,4,0,1,1,1
92,0,1,1,2,0,3,0,151,4,1,2,0,1
93,0,3,1,1,2,2,0,130,4,0,4,0,1
94,0,3,1,3,0,0,0,89,3,0,1,1,1
95,0,3,1,2,0,1,0,98,4,0,1,1,1
96,0,1,1,4,0,3,1,137,4,1,1,1,1
97,1,1,1,1,1,3,1,137,4,1,2,0,1
98,1,2,0,2,1,2,0,34,7,0,2,0,3
99,0,2,1,2,0,2,0,43,3,0,2,0,1
100,0,3,0,1,0,0,0,83,3,0,1,1,2
101,0,3,1,1,0,0,0,83,4,0,1,1,1
102,0,1,1,1,1,3,0,85,4,1,2,0,1
103,0,3,1,2,0,1,0,116,4,0,1,1,1
104,0,3,1,2,0,1,0,66,4,0,3,0,1
105,0,3,1,1,0,0,0,83,3,0,1,1,1
106,1,3,0,1,0,0,0,78,4,0,1,1,2
107,1,3,1,1,0,0,0,67,4,0,1,1,1
108,0,3,1,2,0,0,0,83,3,0,1,1,1
109,1,3,0,1,0,2,2,95,3,0,2,0,2
110,0,1,1,2,0,3,0,0,4,1,1,1,1
111,0,3,0,0,0,2,1,50,3,0,2,0,2
112,0,3,1,1,0,1,0,71,4,0,1,1,1
113,0,3,0,1,0,1,0,106,3,0,2,0,2
114,0,3,0,1,0,2,1,46,3,0,1,1,2
115,0,3,1,1,0,1,0,148,3,0,1,1,1
